2023-07-31 10:29:24,976 | DEBUG | nextcord.gateway |  For Shard ID None: WebSocket Event: {"t":"GUILD_CREATE","s":2,"op":0,"d":{"lazy":true,"system_channel_flags":0,"vanity_url_code":null,"stickers":[],"max_members":500000,"mfa_level":0,"nsfw_level":0,"default_message_notifications":1,"premium_subscription_count":0,"system_channel_id":"883749537779437572","inventory_settings":null,"application_command_counts":{"3":1,"2":2,"1":82},"guild_hashes":{"version":1,"roles":{"omitted":false,"hash":"hG5b2w"},"metadata":{"omitted":false,"hash":"+GBpyw"},"channels":{"omitted":false,"hash":"Sx6aPQ"}},"member_count":16,"public_updates_channel_id":"883781331857846292","safety_alerts_channel_id":null,"preferred_locale":"en-US","incidents_data":null,"id":"883749537779437568","stage_instances":[],"description":null,"afk_channel_id":null,"large":false,"region":"deprecated","premium_tier":0,"banner":null,"embedded_activities":[],"explicit_content_filter":2,"nsfw":false,"verification_level":1,"threads":[],"discovery_splash":null,"hub_type":null,"max_stage_video_channel_users":50,"unavailable":false,"channels":[{"version":0,"type":4,"position":1,"permission_overwrites":[],"name":"O2. Global","id":"883749537779437570","flags":0},{"version":0,"type":4,"position":2,"permission_overwrites":[],"name":"O3. Calls","id":"883749537779437571","flags":0},{"version":0,"type":0,"topic":null,"rate_limit_per_user":0,"position":1,"permission_overwrites":[{"type":0,"id":"883749537779437568","deny":"2048","allow":"0"}],"parent_id":"883749605404201070","name":"🌸│welcome","last_message_id":"1031181215589482588","id":"883749537779437572","flags":0},{"version":0,"user_limit":50,"type":2,"rtc_region":null,"rate_limit_per_user":0,"position":0,"permission_overwrites":[],"parent_id":"883749537779437571","name":"🦋│General 1","last_message_id":null,"id":"883749537779437573","flags":0,"bitrate":64000},{"version":0,"type":4,"position":0,"permission_overwrites":[{"type":0,"id":"883749537779437568","deny":"2048","allow":"0"}],"name":"O1. Information Desk","id":"883749605404201070","flags":0},{"version":0,"type":0,"topic":null,"rate_limit_per_user":0,"position":2,"permission_overwrites":[{"type":0,"id":"883749537779437568","deny":"2048","allow":"0"}],"parent_id":"883749605404201070","name":"🌼│pigeon-post","last_message_id":"1135352385905111173","id":"883758320144494653","flags":0},{"version":0,"type":0,"topic":null,"rate_limit_per_user":0,"position":4,"permission_overwrites":[{"type":0,"id":"883749537779437568","deny":"2048","allow":"0"}],"parent_id":"883749605404201070","name":"🌼│rules","last_message_id":null,"id":"883759394439970836","flags":0},{"version":0,"type":5,"topic":null,"rate_limit_per_user":0,"position":3,"permission_overwrites":[{"type":1,"id":"282286160494067712","deny":"0","allow":"149504"},{"type":0,"id":"883749537779437568","deny":"18432","allow":"0"}],"parent_id":"883749605404201070","name":"🌸│content-announcements","last_message_id":"1135277986778714222","id":"883759455588733009","flags":0},{"version":0,"type":0,"topic":null,"rate_limit_per_user":0,"position":5,"permission_overwrites":[{"type":0,"id":"883749537779437568","deny":"2048","allow":"0"}],"parent_id":"883749605404201070","name":"🌸│reaction-roles","last_message_id":"953327963355627580","id":"883759813333516389","flags":0},{"version":0,"type":0,"topic":null,"rate_limit_per_user":0,"position":6,"permission_overwrites":[],"parent_id":"883749537779437570","name":"🍓│the-bird-box","last_message_id":"1135349851098456135","id":"883763858236407848","flags":0},{"version":0,"type":0,"topic":null,"rate_limit_per_user":0,"position":7,"permission_overwrites":[],"parent_id":"883749537779437570","name":"📃│media","last_message_id":"907348419192971345","id":"883763916742754365","flags":0},{"version":0,"type":0,"topic":null,"rate_limit_per_user":0,"position":9,"permission_overwrites":[],"parent_id":"883749537779437570","name":"🍓│art-and-edits","last_message_id":"902553344218914897","id":"883764203901562931","flags":0},{"version":0,"type":0,"topic":null,"rate_limit_per_user":0,"position":10,"permission_overwrites":[],"parent_id":"883749537779437570","name":"📃│play-house","last_message_id":"924063409799036949","id":"883764224101347368","flags":0},{"version":0,"type":0,"topic":null,"rate_limit_per_user":0,"position":11,"permission_overwrites":[],"parent_id":"883749537779437570","name":"🍓│quote-book","last_message_id":"909549886616272916","id":"883764238638809138","flags":0},{"version":0,"type":0,"topic":null,"rate_limit_per_user":0,"position":0,"permission_overwrites":[{"type":0,"id":"883749537779437568","deny":"1024","allow":"0"}],"name":"moderator-only","last_message_id":"1135504025253576734","id":"883781331857846292","flags":0},{"version":0,"user_limit":0,"type":2,"rtc_region":null,"rate_limit_per_user":0,"position":5,"permission_overwrites":[{"type":0,"id":"883749537779437568","deny":"1048576","allow":"1024"}],"parent_id":"883749537779437571","name":"🌿 | Me When Streamer","last_message_id":null,"id":"883971831705526292","flags":0,"bitrate":64000},{"version":0,"type":0,"topic":null,"rate_limit_per_user":0,"position":12,"permission_overwrites":[],"parent_id":"883749537779437571","name":"no-mic","last_message_id":"923957424803704893","id":"884492311013261422","flags":0}],"premium_progress_bar_enabled":false,"presences":[],"application_id":null,"home_header":null,"members":[{"user":{"username":"bmil","public_flags":0,"id":"608266907476426762","global_name":null,"display_name":null,"discriminator":"9300","bot":true,"avatar_decoration":null,"avatar":"567fda2a6d33bda16602ee4a33680a74"},"roles":["977971971939766406"],"premium_since":null,"pending":false,"nick":null,"mute":false,"joined_at":"2022-05-22T16:31:27.995000+00:00","flags":0,"deaf":false,"communication_disabled_until":null,"avatar":null}],"voice_states":[],"latest_onboarding_question_id":null,"splash":null,"features":["NEWS","COMMUNITY","NEW_THREAD_PERMISSIONS","THREADS_ENABLED"],"guild_scheduled_events":[],"rules_channel_id":"883759394439970836","icon":"d022dc4744cd0b048830e5c167366272","joined_at":"2022-05-22T16:31:27.995000+00:00","roles":[{"version":1683078210057,"unicode_emoji":null,"tags":{},"position":0,"permissions":"111022861307457","name":"@everyone","mentionable":false,"managed":false,"id":"883749537779437568","icon":null,"hoist":false,"flags":0,"color":0},{"version":0,"unicode_emoji":null,"tags":{},"position":21,"permissions":"9337258372863","name":"Owner","mentionable":false,"managed":false,"id":"883760066581377026","icon":null,"hoist":false,"flags":0,"color":15434627},{"version":0,"unicode_emoji":null,"tags":{},"position":20,"permissions":"521942847049","name":"Staff","mentionable":false,"managed":false,"id":"883760328989605928","icon":null,"hoist":true,"flags":0,"color":15457923},{"version":0,"unicode_emoji":null,"tags":{},"position":18,"permissions":"521942715969","name":"Member","mentionable":false,"managed":false,"id":"883760397461651467","icon":null,"hoist":true,"flags":0,"color":10279043},{"version":0,"unicode_emoji":null,"tags":{},"position":15,"permissions":"521942847041","name":"She/Her","mentionable":false,"managed":false,"id":"883761111571243088","icon":null,"hoist":false,"flags":0,"color":11363942},{"version":0,"unicode_emoji":null,"tags":{},"position":14,"permissions":"521942847041","name":"She/They","mentionable":false,"managed":false,"id":"883761164675346482","icon":null,"hoist":false,"flags":0,"color":11371878},{"version":0,"unicode_emoji":null,"tags":{},"position":13,"permissions":"521942847041","name":"They/Them","mentionable":false,"managed":false,"id":"883761221306818620","icon":null,"hoist":false,"flags":0,"color":11971172},{"version":0,"unicode_emoji":null,"tags":{},"position":12,"permissions":"521942847041","name":"He/They","mentionable":false,"managed":false,"id":"883761260867498054","icon":null,"hoist":false,"flags":0,"color":9022822},{"version":0,"unicode_emoji":null,"tags":{},"position":11,"permissions":"521942847041","name":"He/Him","mentionable":false,"managed":false,"id":"883761330664919040","icon":null,"hoist":false,"flags":0,"color":6729106},{"version":0,"unicode_emoji":null,"tags":{},"position":10,"permissions":"521942847041","name":"It/Its","mentionable":false,"managed":false,"id":"883761414664249455","icon":null,"hoist":false,"flags":0,"color":6721709},{"version":0,"unicode_emoji":null,"tags":{},"position":9,"permissions":"521942847041","name":"Neopronouns","mentionable":false,"managed":false,"id":"883761581207478312","icon":null,"hoist":false,"flags":0,"color":6711725},{"version":0,"unicode_emoji":null,"tags":{},"position":8,"permissions":"521942847041","name":"All Pronouns","mentionable":false,"managed":false,"id":"883761698291470386","icon":null,"hoist":false,"flags":0,"color":8414893},{"version":0,"unicode_emoji":null,"tags":{},"position":7,"permissions":"521942847041","name":"Ask Pronouns","mentionable":false,"managed":false,"id":"883761744227483698","icon":null,"hoist":false,"flags":0,"color":11036333},{"version":0,"unicode_emoji":null,"tags":{"bot_id":"235148962103951360"},"position":16,"permissions":"8798181256446","name":"carl-bot","mentionable":false,"managed":true,"id":"883761999220195378","icon":null,"hoist":false,"flags":0,"color":0},{"version":0,"unicode_emoji":null,"tags":{},"position":17,"permissions":"521942847041","name":"Beep Boops","mentionable":false,"managed":false,"id":"883763177161101412","icon":null,"hoist":true,"flags":0,"color":8640491},{"version":0,"unicode_emoji":null,"tags":{"bot_id":"716390085896962058"},"position":6,"permissions":"388168","name":"Pokétwo","mentionable":false,"managed":true,"id":"884140501874393199","icon":null,"hoist":false,"flags":0,"color":0},{"version":0,"unicode_emoji":null,"tags":{},"position":5,"permissions":"521942715969","name":"Content Alerts","mentionable":true,"managed":false,"id":"884840496554475552","icon":null,"hoist":false,"flags":0,"color":10038562},{"version":0,"unicode_emoji":null,"tags":{},"position":4,"permissions":"521942715969","name":"Ramble Alerts","mentionable":true,"managed":false,"id":"884840542398205982","icon":null,"hoist":false,"flags":0,"color":10038562},{"version":0,"unicode_emoji":null,"tags":{},"position":19,"permissions":"1071698529857","name":"Twitch Mod","mentionable":true,"managed":false,"id":"889085713256153088","icon":null,"hoist":true,"flags":0,"color":1146986},{"version":0,"unicode_emoji":null,"tags":{},"position":3,"permissions":"1071698529857","name":"Pigeon Post","mentionable":false,"managed":false,"id":"890609104232546414","icon":null,"hoist":false,"flags":0,"color":10038562},{"version":0,"unicode_emoji":null,"tags":{},"position":22,"permissions":"1071698529865","name":"funny streamer person","mentionable":false,"managed":false,"id":"890996070627295262","icon":null,"hoist":true,"flags":0,"color":7419530},{"version":0,"unicode_emoji":null,"tags":{"bot_id":"736888501026422855"},"position":2,"permissions":"2243292232","name":"Tempo","mentionable":false,"managed":true,"id":"891714573382610955","icon":null,"hoist":false,"flags":0,"color":0},{"version":0,"unicode_emoji":null,"tags":{"bot_id":"282286160494067712"},"position":1,"permissions":"67632192","name":"Pingcord","mentionable":false,"managed":true,"id":"917125241438892043","icon":null,"hoist":false,"flags":0,"color":0},{"version":0,"unicode_emoji":null,"tags":{"bot_id":"608266907476426762"},"position":1,"permissions":"8","name":"bmil","mentionable":false,"managed":true,"id":"977971971939766406","icon":null,"hoist":false,"flags":0,"color":0}],"owner_id":"519920731904016384","name":"Limb's Garden","emojis":[{"version":0,"roles":[],"require_colons":true,"name":"cakecloud","managed":false,"id":"894992841963634729","available":true,"animated":false},{"version":1690667884759,"roles":[],"require_colons":true,"name":"annoyedline","managed":false,"id":"1134968112509370538","available":true,"animated":false},{"version":1690667891541,"roles":[],"require_colons":true,"name":"panicline","managed":false,"id":"1134968140695097447","available":true,"animated":false},{"version":1690667897240,"roles":[],"require_colons":true,"name":"maddyhug","managed":false,"id":"1134968164317397012","available":true,"animated":false},{"version":1690758668162,"roles":[],"require_colons":true,"name":"cluelessline","managed":false,"id":"1135348885741654036","available":true,"animated":false},{"version":1690758668453,"roles":[],"require_colons":true,"name":"smugeline","managed":false,"id":"1135348886911848558","available":true,"animated":false},{"version":1690758668901,"roles":[],"require_colons":true,"name":"pensiveline","managed":false,"id":"1135348888522469448","available":true,"animated":false},{"version":1690758669307,"roles":[],"require_colons":true,"name":"supergladline","managed":false,"id":"1135348890472829039","available":true,"animated":false}],"afk_timeout":300,"max_video_channel_users":25}}
2023-07-31 10:29:24,976 | DEBUG | nextcord.client |  Dispatching event socket_event_type
2023-07-31 10:29:24,976 | DEBUG | nextcord.client |  Dispatching event guild_available
2023-07-31 10:29:24,976 | DEBUG | nextcord.client |  nextcord.Client: No locally added commands explicitly registered for Guild(id=883749537779437568, name=Limb's Garden), not checking.
2023-07-31 10:29:25,199 | DEBUG | nextcord.http |  GET https://discord.com/api/v10/applications/608266907476426762/commands with None has returned 200
2023-07-31 10:29:25,199 | DEBUG | nextcord.http |  GET https://discord.com/api/v10/applications/608266907476426762/commands has received []
2023-07-31 10:29:25,380 | DEBUG | nextcord.http |  GET https://discord.com/api/v10/applications/608266907476426762/commands with None has returned 200
2023-07-31 10:29:25,380 | DEBUG | nextcord.http |  GET https://discord.com/api/v10/applications/608266907476426762/commands has received []
2023-07-31 10:29:25,573 | DEBUG | nextcord.http |  GET https://discord.com/api/v10/applications/608266907476426762/commands with None has returned 200
2023-07-31 10:29:25,573 | DEBUG | nextcord.http |  GET https://discord.com/api/v10/applications/608266907476426762/commands has received []
2023-07-31 10:29:25,573 | DEBUG | nextcord.state |  Command sync with Guild None finished.
2023-07-31 10:29:26,986 | DEBUG | nextcord.client |  Dispatching event ready
